Time,volume,price
2018+AC0-03+AC0-22 00:00:00 UTC,915962002.237749,8820.8807930752
2018+AC0-03+AC0-23 00:00:00 UTC,864538951.785123,8574.3643299464
2018+AC0-03+AC0-24 00:00:00 UTC,762893171.275222,8891.5416701141
2018+AC0-03+AC0-25 00:00:00 UTC,596110029.602439,8591.4301874036
2018+AC0-03+AC0-26 00:00:00 UTC,1003329886.17245,8275.8618539794
2018+AC0-03+AC0-27 00:00:00 UTC,853045089.88628,8031.0490945281
2018+AC0-03+AC0-28 00:00:00 UTC,602431261.530631,7973.1802404502
2018+AC0-03+AC0-29 00:00:00 UTC,1293328951.45924,7584.3236674574
2018+AC0-03+AC0-30 00:00:00 UTC,1472789829.14886,6960.661566745
2018+AC0-03+AC0-31 00:00:00 UTC,853510305.564049,7055.2391796068
2018+AC0-04+AC0-01 00:00:00 UTC,818078251.417028,6851.5434013513
2018+AC0-04+AC0-02 00:00:00 UTC,697586748.822038,7031.0303100477
2018+AC0-04+AC0-03 00:00:00 UTC,841538457.17974,7364.7592844435
2018+AC0-04+AC0-04 00:00:00 UTC,805331044.923683,7126.8755533711
2018+AC0-04+AC0-05 00:00:00 UTC,706156747.112161,6808.0446216161
2018+AC0-04+AC0-06 00:00:00 UTC,565157061.313128,6684.4288308613
2018+AC0-04+AC0-07 00:00:00 UTC,523419245.004372,6910.9233272659
2018+AC0-04+AC0-08 00:00:00 UTC,391847387.336152,7010.906998896
2018+AC0-04+AC0-09 00:00:00 UTC,857111226.412452,6915.6400515155
2018+AC0-04+AC0-10 00:00:00 UTC,390082583.592637,6806.221186992
2018+AC0-04+AC0-11 00:00:00 UTC,422155325.249149,6896.6462946971
2018+AC0-04+AC0-12 00:00:00 UTC,1400162854.6085,7349.2700040496
2018+AC0-04+AC0-13 00:00:00 UTC,1072221525.93054,8008.6288467584
2018+AC0-04+AC0-14 00:00:00 UTC,480994307.778324,8029.6227698933
2018+AC0-04+AC0-15 00:00:00 UTC,528540983.516835,8219.393786242
2018+AC0-04+AC0-16 00:00:00 UTC,674791183.749565,8100.6135425268
2018+AC0-04+AC0-17 00:00:00 UTC,532757332.945717,8062.2658801394
2018+AC0-04+AC0-18 00:00:00 UTC,550959975.913175,8073.5877073452
2018+AC0-04+AC0-19 00:00:00 UTC,553901256.221799,8225.6721007553
2018+AC0-04+AC0-20 00:00:00 UTC,919602749.602842,8446.8407551094
